year_date,year,team,city,player_name,postseason,games_played,minutes_played,points_per_game,def_points_per_game,point_difference,field_goal_made,field_goal_attempted,field_goal_percentage,def_field_goal_percentage,two_points_made,two_points_attempted,two_points_percentage,three_points_made,three_points_attempted,three_points_percentage,def_three_points_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,offensive_rebounds_percentage,defensive_rebounds_percentage,total_rebounds_percentage,assists,steals,blocks,turnovers,def_turnovers,fouls
2013-02-01T08:00:00.000Z,2013,Hawks,Atlanta,"",false,82,0,98,0,0,37.6,81,46.4,0,29,57.8,50.1,8.6,23.2,37.1,0,14.1,19.7,71.5,9.2,31.6,40.9,0,0,0,24.5,8.1,4.5,14.9,0,18
2013-02-01T08:00:00.000Z,2013,Jazz,Salt Lake City,"",false,82,0,98,0,0,37.1,81.8,45.4,0,31,64.9,47.7,6.2,16.9,36.6,0,17.5,23,76.4,12.1,30,42,0,0,0,22.7,8.4,6.3,14.8,0,21.4
2013-02-01T08:00:00.000Z,2013,Trailblazers,Portland,"",false,82,0,97.5,0,0,36.7,81.9,44.8,0,28.5,58.7,48.6,8.2,23.2,35.3,0,15.9,20.5,77.6,10.7,30.2,40.8,0,0,0,21.8,6.6,4.3,14.7,0,18.5
2013-02-01T08:00:00.000Z,2013,Raptors,Toronto,"",false,82,0,97.2,0,0,36.3,81.5,44.6,0,29.4,61.2,48,7,20.3,34.3,0,17.6,22.3,78.8,10.6,29.6,40.2,0,0,0,21.5,7.3,4.8,13.7,0,22.4
2013-02-01T08:00:00.000Z,2013,Nets,Brooklyn,"",false,82,0,96.9,0,0,35.9,79.8,44.9,0,28.2,58.4,48.3,7.7,21.5,35.7,0,17.5,23.9,73.1,12.8,30,42.8,0,0,0,20.3,7.3,4.8,14.7,0,18.3
2013-02-01T08:00:00.000Z,2013,Celtics,Boston,"",false,81,0,96.5,0,0,37,79.8,46.5,0,30.9,62.6,49.4,6.1,17.2,35.8,0,16.3,21,77.6,8.1,31.3,39.4,0,0,0,22.8,8.2,4.5,14.6,0,21.2
2013-02-01T08:00:00.000Z,2013,Cavaliers,Cleveland,"",false,82,0,96.5,0,0,36.5,84.2,43.4,0,29.8,64.9,46,6.7,19.3,34.6,0,16.8,22.3,75.6,12.2,28.8,41,0,0,0,20.7,7.9,4.1,14,0,21.2
2013-02-01T08:00:00.000Z,2013,Timberwolves,Minneapolis,"",false,82,0,95.7,0,0,35.9,81.7,43.9,0,30.4,63.7,47.7,5.5,18,30.5,0,18.5,24.9,74.2,11.9,30.2,42,0,0,0,22.4,8.5,4.7,14.8,0,18.4
2013-02-01T08:00:00.000Z,2013,Suns,Phoenix,"",false,82,0,95.2,0,0,37.3,84.4,44.3,0,31.5,66.6,47.3,5.9,17.7,33,0,14.7,19.7,74.4,11.7,29.9,41.6,0,0,0,22.6,8,5.3,15.6,0,20.6
2013-02-01T08:00:00.000Z,2013,Pistons,Detroit,"",false,82,0,94.9,0,0,36.3,81,44.9,0,30.1,63.4,47.4,6.3,17.6,35.6,0,15.9,22.8,69.9,12.1,30,42.1,0,0,0,21.2,7,4.9,15.1,0,19.8
